"","age","job.blue.collar","job.entrepreneur","job.housemaid","job.management","job.retired","job.self.employed","job.services","job.student","job.technician","job.unemployed","job.unknown","marital.married","marital.single","education.secondary","education.tertiary","education.unknown","default.yes","balance","housing.yes","loan.yes","contact.telephone","contact.unknown","day","month.aug","month.dec","month.feb","month.jan","month.jul","month.jun","month.mar","month.may","month.nov","month.oct","month.sep","duration","campaign","pdays","previous","poutcome.other","poutcome.success","poutcome.unknown"
"62",63,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,415,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,323,1,-1,0,0,0,1
"111",21,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2488,0,0,0,0,30,0,0,0,0,0,1,0,0,0,0,0,258,6,169,3,0,1,0
"195",23,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,9216,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,471,2,-1,0,0,0,1
"200",75,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3771,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,185,1,181,2,0,1,0
"201",34,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,992,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,301,1,88,2,0,1,0
"265",58,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,883,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,543,1,78,2,0,0,0
"299",38,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,593,1,1,0,0,24,0,0,0,0,1,0,0,0,0,0,0,1484,24,-1,0,0,0,1
"324",38,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1199,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,178,1,1,1,0,1,0
"339",63,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1084,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,201,1,183,1,0,1,0
"355",29,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,318,1,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,1434,2,356,4,0,0,0
"360",26,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2572,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,620,1,-1,0,0,0,1
"370",30,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,946,1,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,1065,1,183,1,1,0,0
"465",32,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,889,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,185,1,99,5,0,1,0
"495",44,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,244,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,1735,4,-1,0,0,0,1
"518",36,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1925,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,904,2,-1,0,0,0,1
"520",61,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5207,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,336,1,81,2,1,0,0
"556",37,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1314,1,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,682,2,85,7,0,1,0
"646",46,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,548,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,1181,4,-1,0,0,0,1
